game,review_text,review_date,review_title,author,a
Psychonauts," Never played it before. First impression is : ""WOW"" I love this game style and music a little annoying dialogues system but the are fun to read. I can recommend it to those who never tried it. Hope you will like it as much as I do. ", October 18 2018, Never played it before,hendrix8282,a
Master Of Magic," Master of ""CLICK NEXT TURN"" more like. Enjoy moving your units slowly across the maps one tile at a time. Enjoy watching your stupid greedy townfolk screwing up your economy. Caputured a town? great better defend it by moving your units from your main base into it you don t want to waste time by creating units on newlyt aqcuired base. OOPS YOU DIDN""T HAVE ENOUGH UNITS YOUR CITY WAS DESTROYED BECAUES OF TWO FING PHANTOM WARRIORS Your AI oppenent are just greedy. they take your life s saving just to remain peaceful. And if you don t EVERYONE GANGS UP ON YOU. Also f*ck the Auto button basically it s a suicide button right next to the Wait button enjoy misclicking. You can interupt it by clicking other button but units will take their turns so fast that already the battle is f*cked up beyond undo. And that s just one click accidently cliing the Auto button more than once is basically the programmer ""fuc* you"" button. Skipping one round is fine BUT NOT THE REST OF THE BATTL:E.THANKS A FUCKING LOT MICROPOSE _|_. DONT BUY JUST STEAL IT FROM ABANDONED WARE ", October 20 2018," Master of ""CLICK NEXT TURN"" more like",duffy5102,a
Mechoecho, It is short. but what there was i wish there was more of. officially there are 30 levels but at least 3 of them you DON T BUILD ANYTHING. and another 10ish are turorials which you have are told what to do and given a premade design. The psysics are very rigid and snappy and different to what i expexted but i actually ended up really enjoying it and is the reason it is not 1 star. but it doesn t give you a chance to experiment with the ideas and solutions introduced for example in the trailer you see a vehicle grab the top of a wall and flip itself to the other side you let go and drive off. awsome and very fun to do... but that s it you never do that again :( It feels like a demo of a much better game. and if you are here for story. it s quite good but also short :( TO THE DEVELOPER. PLEASE can you realse a map editor/maker that would make it instant 5 stars just playing the evil designs the community come up with would be well worth the price , May 23 2016, It is short,cummings,a
Ufo: Aftermath," If you wished that X-Com had dozens more varieties of earth guns in it could be played in real-time to move faster and had way more variety of aliens then this is the game you want to play. It s got various armors and guns that deal and protect against various kinds of damage meaning that your loadout will sometimes be different depending on which enemies you expect to face. It s got a real-time strategic interface that is easy to use and yet provides some tactical challenges (But you have to tell your soldiers to  walkinstead of  runat the beginning of just about every mission). It has a story that is reasonably well fleshed-out and that affects the game events in interesting ways. And your soldiers will gain levels and compentency in different skills that affect their performance (until they die horribly but that s squad tactical games for you!) There s little in this game that makes it stand out except that for years before the new X-COM games this was the only series on the market filling that niche. I had fun playing the whole series a few times and if you like X-COM and other similar games then you ll probably like this one too. Now get out there soldier and kick some alien butt! Pros: Good weapon sound effects weapon and armor variety. Good variety of enemies challenging gameplay that is usually not unfair (except for balloon fish in base missions). Cons: Amateurish voice acting mediocre tutorial no in-game help to speak of soldiers default to ""running"" which is definitely not the most generally useful stance. Lots of missions - pretty grindy in the mid-game. ", August 24 2018, If you wished that X-Com had dozens more varieties of earth guns in it could be played in real-time to move faster and had way more variety of aliens then this is the game you want to play,ramsey1152,a
Cossacks 3, No Linux support which is officially available on Steam. , June 23 2018, No Linux support which is officially available on Steam,mcclure7616,a
Atlantis 2: Beyond Atlantis, I just completed this and it didn t take long very nice graphics but a lot of the puzzles are missing (probably why I got through it so quickly). I feel that I only got half a game. I am assuming this is because it is the mac version. In Ireland you don t get the birdman puzzle in Maya you don t get to do the number puzzles in the temple the spider puzzle and the rainbow bridge puzzle in the jungle. In China you don t get to do the disc logic puzzle or the wave and dragon puzzle in the machine room. That is a lot of content cut. Instead you just click on the hotspot and get to continue shame. , March 23 2015, I just completed this and it didn t take long very nice graphics but a lot of the puzzles are missing (probably why I got through it so quickly),gordon1226,a
Soma, Tolles sehr packendes gruseliges spannendes Since Fiction Spiel. Was wird aus unserem Ich wenn sich die Welt in der wir Leben aufgrund einer schweren Krankheit nicht mehr um uns selbst dreht und wir uns gleichg??ltig schweren medizinischen Experimenten stellen. Was wird aus uns wenn bei dem Experiment etwas schief geht und uns unser wechselndes Ich gleichg??ltig ist hauptsache wir ??berleben egal wie und in welcher Gestallt. Absolut spannend mit gro??em Gruselfaktor und hinterlassen einer gro??en Phanthasie des Denkens und Tr??umens wie wirds weiter gehen nach dem Spiel. Bin absolut begeistert und es ist ein absolut tolles gelungenes Spiel durch und durch Das Spiel geht uns zwischen drin durch Mark und Bein. F??r Halloween absolut gutes tolles Spiel. Bin begeistert. Toller Gruselfaktor. , November 1 2018, Tolles sehr packendes gruseliges spannendes Since Fiction Spiel,mercado5797,a
Hidden & Dangerous 2: Courage Under Fire, I already left a review on my Youtube channel. In short; still a great game today from a golden era for games. Like Ghost Recon but better with better graphics and superb for fine details. You can approach stages gung ho or stealthily and come up trumps both times! Only shame is that there is not a level editor for this one (like the 1st game). , July 3 2018, I already left a review on my Youtube channel,keith,a
Hatoful Boyfriend," A zany madcap mostly-light-hearted dating sim for six or seven of the routes; for one of them a horror story; and the last a dark meditation on the nature of love and violence. I enjoyed them all. I particularly appreciated the exploration of various types of love; besides the expected there were the types of non-romantic love that exist between a parent and a child between brothers and between friends. (At least they came up on most routes and were seriously examined on the ""fulfill a promise""/BBL/""Hurtful Boyfriend"" route.) What I found a delightful surprise was the fairly capable heroine. In the few Japanese games I ve played and even in some of the otome games that are Western-made the heroine is usually helpless ditzy and dim. The main reasons I m giving the game four stars instead of five are mechanical. 1. You can t look at a text log or go back a few comments. If you accidentally left clicked before you finished reading a bit of dialog there s no way to see it short of loading a previous save and playing again until you get back to where you missed the comment. 2. You can t save while a choice is on the screen. The game tries to compensate signaling an upcoming choice by making it so you need to click two or three times to get to the choice itself showing that you need to save then... but if you re fast forwarding through a scene there s no pause before a choice. Save often. 3. And if you are replaying the game or a route to see what s different when you ve made different choices there s no ""skip seen"" option. Fast forward always skips the entire scene rather than giving you the option to stop where new content begins. These three things may seem minor to those who aren t used to playing games built with the Ren Py engine but they re features I ve come to rely on. (And since they re things even &lt;i&gt;free&lt;/i&gt; games do it seems a bizarre lack for a commercial game.) ", March 29 2018, A zany madcap mostly-light-hearted dating sim for six or seven of the routes; for one of them a horror story; and the last a dark meditation on the nature of love and violence,hardin,a
Overclocked: A History Of Violence, The whole concept is really good but as the story unfolds it justs... crumbles. The main mechanic becomes redundant and the ending makes no sense. The game is enjoyable as a whole but be prepared to be frustrated if you like questions to be answered , April 2 2018, The whole concept is really good but as the story unfolds it justs,lawrence1859,a
Stellaris: Utopia, Utopia improves the base game in a lot of ways. From meaningful political traits you pick at the creation of your Empire to interesting ascension perks you aquire during mid game and finally awesome mega structures you can build late game. As other reviewers said if you re not sure which DLC to get this should probably be your first choice. It s still not worth the price of a full fleged expansion in my opinion so I recommend waiting for a sale. , October 22 2018, Utopia improves the base game in a lot of ways,vincent,a
Anomaly Korea, This is my first game from Anomaly Series and I know one thing: I want more. , November 15 2017, This is my first game from Anomaly Series and I know one thing: I want more,romero7157,a
Technobabylon," Technobabylon je jedna z m??la kyberpunkov??ch hier a ako tak?? patr?? do tej lep??ej polovice skupiny. Hlavnou dev??zou je spo??iatku r????kom tajomstva zahalen?? pr??beh ktor?? sa postupne odkr??va a logick?? rie??enie probl??mov. Podobne ako pri Gemini Rue ani v tejto hre som sa nemusel nikdy uch??li?? k n??vodu. KLADY + zauj??mav?? pr??beh + slu??n?? hern?? doba (14 hod??n) + obstojn?? dabing Z??PORY - ??udn?? pohyb my??i (ned?? sa nastavi??) - ve??mi chab?? anim??cie post??v Pr??beh sa odohr??va vo fikt??vnom meste Newton v roku 2087. Mesto vyzn??va ve??mi liber??lny pr??stup smerom k v??????ine odvetv?? a v??aka tomu za????va boom. Takmer ni?? v ??om nie je tabu. ??o inde zak????u z mor??lnych d??vodov je v Newtone povolen?? v mene vedy a pokroku. Zast??pen?? su tu v??etky kyberpunkov?? t??my - umel?? inteligencia megakorpor??cie hakeri a samozrejme kon??pir??cie z ka??dej strany. Hra je oble??n?? do slu??ivej 16-bitovej grafiky ktor?? mne osobne sed?? ku klikac??m adven??ram najviac. Pr??beh vn??ma hr???? skrz viacero post??v a nikdy som nenarazil na nejak?? ""z??kys"". V??etko m?? svoje logick?? rie??enie. Hra v??m neumo??n?? beha?? hore-dole po ve??kom mno??stve obrazoviek v??dy ste s??streden?? v men??ej oblasti na ktor?? sa m??te moment??lne koncentrova??. Navy??e v??etko ??o sa d?? zobra?? alebo na ??o sa d?? klikn???? s??vis?? s rie??en??m probl??mu a tak hra pekne plynulo ods??pa. Tak ako mnoh?? in?? aj ja som mal zo za??iatku probl??m so sekan??m v??dy ke?? sa v hre menila sc??na. Na????astie sa to d?? r??chlo a jednoducho vyrie??i??. V adres??ri s hrou treba klikn???? na winsetup a zmeni?? Graphics Driver na ""DirectDraw 5"". Takisto citlivos?? my??i v hre mi v??bec nesedela a bohu??ia?? sa ned?? ani zmeni??. ", August 19 2018, Technobabylon je jedna z m??la kyberpunkov??ch hier a ako tak?? patr?? do tej lep??ej polovice skupiny,guy7383,a
The Tiny Bang Story," My daughter and I have played many hidden object games over the years. Overall there are few things that the genre in general tries to do differently. The formula is well defined at this point. This is where ""The Tiny Bang Story"" enters from stage left. It is definitely a hidden object game and although the story is functionally nonexistent the puzzles and presentation are just lovely. While the bright colors and generally ""cheerful"" presentation would be great for children to look at do not be fooled. Some of the puzzles are fairly challenging and might not be that easy to solve. If you enjoy hidden object games want to burn around five hours or enjoy playing games with your children then I highly encourage you to give this game a try. You will not be disappointed. ", October 19 2018, My daughter and I have played many hidden object games over the years,sanford3196,a
Bit.Trip Runner Soundtrack, Des musiques en qualit?? MP3 en 2016... -_- , June 18 2016, Des musiques en qualit?? MP3 en 2016,bowen1302,a
Enclave, Linux version is just a Wine wrapper. It does not run in modern distribution (unsurprisingly) - black screen on the start. , October 27 2018, Linux version is just a Wine wrapper,alvarez1260,a
Arcania: Fall Of Setarrif, This game is a terrible conclusion to an otherwise great game series. I was one of the unlucky few who purchased the game for a full price when it was new (disk version). The Gothic series is by no means perfect but it has character and seeing where the story brings you despite the bugs that plagued Gothic 3 I decided to go for Arcania. Big. Mistake. The protagonist is extremely boring and unsympathetic. The story is completely forgettable and the only minor highlights were the appearances of characters from the previous games. Stay away from it unless you REALLY need to experience the story by yourselves. , May 28 2018, This game is a terrible conclusion to an otherwise great game series,raymond6852,a
Braid," Many other reviewers have attested to Braid s remarkable thoughtfulness and ingenuity and I wholeheartedly agree with them. But one thing that people often complain about is the lack of replayability inherent in a puzzle game. Well besides the fact that the game is full of hidden art and story subtleties and the fact that there are speedruns and the eight top-secret ***** challenges the PC version of Braid also supports fan mods! I myself am the author of a mod called ""Braid: More Now Than Ever"" which includes new story 60+ new puzzles (a greatest-hits compilation of the very best fan-made puzzles from multiple other mods) and remixed art and music. Watch the trailer here: https://youtu.be/JOOqekSGFC0 Download it over at ModDB (of course you???ll need an installed copy of Braid too): https://www.moddb.com/mods/more-now-than-ever There are lots of other mods too! ???After the Epilogue??? ???Silverbraid??? ???Stone??? and ???Tim s Modysee??? are some of the best. So never again let it be said that Braid lacks replayability! ", August 6 2018, Many other reviewers have attested to Braid s remarkable thoughtfulness and ingenuity and I wholeheartedly agree with them,pickett,a
Drod: The Second Sky, First let s get the caveat out of the way: if you haven t played Journey to Rooted Hold and The City Beneath you ll be lost both in terms of story and mechanics. The Second Sky is strictly intended for experienced players. So with that out of the way what does TSS offer to someone who s played JtRH and TCB? Quite a bit. The most prominent addition is the new weapons. Five of them to be exact. Each one has different abilities and mechanics for example the staff cannot kill monsters directly and instead must push them onto environmental hazards to kill them. The dagger eschews the usual moving and turning dynamic for a more agile approach killing enemies on the space Beethro steps on and the space in front of that. Each one completely redefines the tactics you need to use and interacts with the other elements in a unique way. The story is also far more prominent than in previous installments. I won t go into detail about it to avoid spoilers but suffice to say it s excellent. However again if you re unfamiliar with the past games nothing will make sense. It assumes knowledge of the events of JtRH and TCB. The level design is also a step up from previous games. These more tightly-crafted rooms require significantly more precision to solve but as a result are even more satisfying to complete. Some of the later levels may border on too difficult but never unfair. Another thing I should point out is the sheer amount of content on offer. While most puzzle games are content with a 6-hour length TSS rivals many RPGs in sheer scale. Reaching the proper ending took me roughly 70 hours (for reference JtRH took me about 30 hours and TCB took me close to 40) and I still have quite a bit left to do mostly the traditional assortment of secret rooms. Overall this is an excellent conclusion to the DROD series but not a starting point. If you re new pick up the 1+2+3 bundle and start with Journey to Rooted Hold. , October 1 2014, First let s get the caveat out of the way: if you haven t played Journey to Rooted Hold and The City Beneath you ll be lost both in terms of story and mechanics,bell9959,a
Blackguards 2, Wow I almost wouldn???t know where to begin??? this is truly a sweet game: To my judgement the story was even more interesting than Blackguards 1. Although simple and relatively short I really liked it. The dialogues were fun and the characters well developed for a relatively short game. The upgrade system was simplified and a couple of the objects of complain from the last title were fixed (or degraded depending on your taste): now there is unlimited equipment and better chances of hitting the enemies. Is like the game was designed with the whole and only purpose of having fun and strategizing during the battles but without having to worry too much about restrictions such as lack of arrows or not having enough AP. Still have to be careful how to spend it though and although equipment was unlimited the money you could earn was not. All this didn???t make it any easier some times some fights were light most you couldn t let your guard down others I had to repeat a couple of times some of them force you stop and think and plan ahead and many others taught me not to give up and fight to the end as it seemed that I was losing horribly just to pull out miraculously at the end. True that there are no guides in the internet (that I could find) but for me this only became a real problem with a certain map that seems a bit buggy and is a very hard fight but in the end this was ok too as it forced me to think harder???. and realize how spoiled we are with guides when things start to go difficult. Initially I was disappointed that the game was a bit short but in the end the lenght felt about perfect and the end gave me a tear. Only thing I would request the development team if there was a next time is to allow us to make the time go faster during the fights this is for when we have eternal strings of enemy turns the wait was a bit despairing some times. Still it wasn t too often. Really excellent game! , May 27 2018, Wow I almost wouldn???t know where to begin??? this is truly a sweet game: To my judgement the story was even more interesting than Blackguards 1,holman,a
Elex Digital Extras, ??????????????????????????????. 3 ??????????????. ?????????????????? ??????. ?????????????? ???? ?????? ??????????. ?????????? ???????????? ???????? ???????????? ?? ????????????????????. ?? ???????? 1 ?? 2 ????????????. ???? ??????????????3 ?????????????? ?????????? ?? ???????? ???? ???????? ???? ???????????? ????????????????????. , June 18 2018, ??????????????????????????????,blackburn4523,a
Tempest - Treasure Lands, Take the same awful combat as when boarding ships turn it into a DLC that s just as awful and charge ???5 for it. Even better forget what s already inherently broken in the core game who cares here s some shiny extras with the same terrible combat mechanics. , December 31 2017, Take the same awful combat as when boarding ships turn it into a DLC that s just as awful and charge ???5 for it,mays,a
Spellforce 2 - Anniversary Edition, ?? ?????????????? ???? ???????????? ?????????? ???????? ???????????????? ???????????? ???????? - ???????????? ?????? ???????????????? ???????????????? (?? ???????????? ???? ???????????? ???????????? ?????????????? ???? ?????????? ?? ?????????? ?????????????????? ???????? ?????? ?????? ?? ????????????????) ?????? ???????????? ???????????? ?????????? ?????????????????????????? ?? ????????????. ???????????????? ?????????? ?? ?????????? ?? ?????????????? - ???????????? ?????? ?????????? ?????????????? ???????? ?????????????? ???????? - ?????????? ?????????????? ???????????????????? ?? ?????????????? ???? 1 ??????????. ?????????????????????? ?????????? ???????? ?????????? ?????????? ?? ??????????????????. ?????????????? - ?????????????? ???????????? ???????????????? ?????????? ?????????? ?? ???????????? ???????? ???????????? ?????????????? ???????? ?????????????????? ?????????? ???????????????? ?? ????. ?????? ???????????????????????? ???????????????????????? ?? ???????? ?????????????????? ???????????????? ???????????? ?????????????? - ???????????????? ???????????????????? ???????????????????? ???????????? ?????????????? ???????????? ???????????? ?????????? ?????????????????? ?????????????????? ?????????? ?? ???????????? ???????????????? ???????????? ?????????????? ?????????????? ?????? ????????????????. ?????????? ???????????????? ?????????????? ???? ???????????? ?? ?????????????????????? ???????? ?????????????????? ???? ???????????? ?????? ???????????? ?? ?????????? ???? ????????????. ?? ?????????? ?????????????? ?????????? ?????????????? ?????? ?????? ?????????????????? ?? ?????????? ?????????????? ?????? ?????????????????? ?????? ???? ???? ?????????? ???? ???????????? ???? ????????????. ?? ?????????? ?????????? ?? ???????????? ????????????. ?? ?????????? ???????????? ???????? ???????? ???????????????? ???? ???????? ???? ???????????????? ???????????????? ?? ?????? ???????????? ???????????? ?????????? ???????????????????????????? ?? ???? ?????????? ???????????????? ?? ????????????. ?????????? ???? ???????????????? 1050 4 ???? 7300 HQ 8 ???? ???????????????????? , June 10 2018, ?? ?????????????? ???? ???????????? ?????????? ???????? ???????????????? ???????????? ???????? - ???????????? ?????? ???????????????? ???????????????? (?? ???????????? ???? ???????????? ???????????? ?????????????? ???? ?????????? ?? ?????????? ?????????????????? ???????? ?????? ?????? ?? ????????????????) ?????? ???????????? ???????????? ?????????? ?????????????????????????? ?? ????????????,gates1352,a
Eador. Masters Of The Broken World, What HoMM and some later games did well this game fails at miserably. There are some really nice ideas all of them badly implemented. Clunky interface illogical management not enough feedback a gazillion clicks and waits to do a simple thing. Avoid unless you re getting paid to play this game. The consider if your time is worth it. , October 20 2018, What HoMM and some later games did well this game fails at miserably,shaw,a
Underrail," I am going to compare this to the Fallout series. This is because this game INVITES such comparison being similar -- even down to perks. First I am stuck in an impossible situation. I m trying to do the ""rob Protectorate warehouse"" mission in Core City. From what I can tell there are two ways to do this. One requires a much higher persuasion than I have. The other way involves going through an area where nearly-invisible monsters attack you and disappear. Without VERY high perception combined with one specific perk you will just die. So I have NO WAY to complete this mission. Nice planning guys. Second you are just thrust into the game. Are you trying to save your vault/village by getting a water chip/GECK? Are you searching for your father? Are you trying to find the man who left you for dead? Nope. If this were real life you have no reason to do anything except use your coin to get drunk. There is no motive that the character has to do any mission other than boredom. We know nothing of the main character s past at all at the beginning no reason to keep going. Also the original Fallout series ran just fine on a 120 MHz Pentium. Despite this having inferior graphics it takes about a minute to start up using my 2.0 GHz AMD A10 processor. Plus when trying to load a game it minimizes itself the first couple of times you click on the ""load game"" button before it lets you actually load. This is annoying. Finally the actual user interface is just kind of a mess: parts of it are just downright confusing. Supposedly you can use an ""omni-tool"" to open and close ventilation covers in order to enter the ventilation system. Open yes. Close I have no idea how to do this. You can also use a crowbar to open them supposedly but I can t figure out how. Also neither good nor bad but this game is more ""realistic"" in many ways than Fallout. Loading up heavy armors reduces your action points. Whether this is good or bad is a matter of opinion. ", September 10 2018, I am going to compare this to the Fallout series,carrillo,a
Downwell, simple but works... very hard game if you die starts all over again... that s the bad. sound and graphics remenber me old nes games. , July 15 2018, simple but works,daniels283,a
Grand Ages: Medieval, Nice a game if you want to win you just need to be patient and take quality time war is very expensive and not an obligation in this game buy shell build look the marvelous country and nothing else to win i like it. A nice contemplative game. , September 9 2018, Nice a game if you want to win you just need to be patient and take quality time war is very expensive and not an obligation in this game buy shell build look the marvelous country and nothing else to win i like it,barton,a
Bounty Train," Its 2018 now and dispite complaints at release the game still is way too unbalanced to enjoy. Some quests you have to fight like 25 well-trained and uber armed enemies vs 4 (the 4 being you) from both sides while hardly being able to move around. The only way to continue is either win the fight which is almost impossible wnt even after 10 enemies killed you run out of pots and explosives or survive for 15 minutes which is even harder given the massive amount of enemies. And thats s at ""normal"" difficculty. The devs promised to balance the game but apparently they abandoned it instead. ", June 9 2018, Its 2018 now and dispite complaints at release the game still is way too unbalanced to enjoy,blackburn,a
Dungeon Rats, I have spent 50 hours on this game in Murderous Psychopath mode. 28 on my first playground where it was a lot of frustration and anger and then i rage quit. But 2 days later i was back for a 2nd try and i began to understand the mechanics of the game and in only 22 hours i prevailed. It was Really easy on this 2nd try and i created a little guide on my website to beat the Murderous Psychopath difficulty. This game is great i heard about it after completing their first great RPG Age of Decadence and so now i am waiting for their 2020 release Colony Ship ! , October 19 2018, I have spent 50 hours on this game in Murderous Psychopath mode,travis2109,a
Seum: Speedrunners From Hell," This game caught my attention because I ve always loved speedrunning despite not being very good at it so naturally a game marketed to speedrunning would catch my attention. The gameplay is very simplistic. You are given whatever powers you need to complete the level just get to the exit as quick as possible. This is literally it. The fun comes from getting better times on each level which lead to some really interesting moments where you kick yourself for jumping when you probably couldv e just run across a gap. The abilites you get for each level range from reversing gravity to making platforms to setting a spot where you can teleport back to which make levels very puzzle-y and never really feel boring. There s also collectables which the game lets you collect then restart the level while recording that you ve collected it which is a god send since otherwise the locations of these objects pretty much promise that you ll time out of the level since they are either hidden very well or are difficult to get to. The main thing that makes me decrease this review by a star is that not every level is about maximizing your action economy or jumping at the best times or any of the other traditional glitchless speedrun techniques it s about finding what ""breaks"" the level. This could me finding a different path through the level using your powers in an interesting way or simply absuing the tools given to you. For some reason this did not appeal to me as it means that some levels you have to run pretty much ad infinitum to just find the thing that breaks the level. In one such case early on it was a collapsable floor piece you could break that cuts off about 6 seconds of your time. This removed the feeling of speedrunning and starts to feel more like a puzzle game than a platformer. Realistically I give this game a 4.5 but since there isn t a half star function I have to put it at a 4/5. Overall I recommend this game fairly highly. ", October 18 2018, This game caught my attention because I ve always loved speedrunning despite not being very good at it so naturally a game marketed to speedrunning would catch my attention,mullins9154,a
Eschalon: Book III, Excellent game in its own right and a worthy coda to the Eschalon series. The game itself in terms of game play and game engine utilizes most of the improvements of the second game and further polishes them. The story is great but the game does not hold you by the hand in any way. You are actually going to have t use your head remember what has happened so far and explore as much as possible to make it through. All of the what makes the previous games so special can be found in Book III such as awesome character creation tactical combat an immersive world and a wonderful score. Though the little annoyances from the previous games are also present like that unshakable feeling that your character misses far too much sudden death from unseen traps and back-tracking through expansive wilderness with nothing much in it. Book III also felt a little shorter than the previous games but that might just be my imagination. Bottom line: If you enjoyed the first two games then you will enjoy BOOK III just as much. , June 29 2018, Excellent game in its own right and a worthy coda to the Eschalon series,powers2531,a
Torment: Tides Of Numenera - Legacy Edition Upgrade, This is what you get for over-financing a project way before the job is done. Huge PS:T lover here who backed this by 130???. I really did not expect much but I hoped I would at least like this. I could not finish the game half way through. If you have to try hard to keep your interest in the story characters and the world then there is something terribly wrong with the writing and atmosphere. And it s not like my tastes have changed. I ve played PS:T two years back and I ve been blown away even more than ever before - that s how brilliant the writing and atmosphere was. But I ve approached TTON as a completely standalone piece of art with no association to PS:T. I was thinking that will prevent my disappointment. Boy I was wrong. Actually any resemblance and respect to PS:T is what helps this game to stay above water surface. Otherwise the writing here is just overly complex overly flowery overly mysterious overly abundant and in the end overly unnatural overly soulless and overly boring. I also blame audio management for the lack of atmosphere. I ve written exhaustive letter to devs and they pretty much ignored every single point even clear bug reports. That s what you get for backing. The score is composed.. or better yet the audio mixed and processed in a way that the result sounds very flat and featureless without any noticeable dynamics or remarkable details and memorable moments as it was in PST. Not only it s barely noticeable but during dialogues where you spent over 70% (!) of all time someone decided it would be good idea if the music is all muffled and almost muted. What is the point of musical score when you spent literally hours and days listening to it in this muffled state? The ambience of people in the area is lacking heavily. Something I loved about PST that you could hear and FEEL you are in a city full of people around you. In Tides people are silent. You go in a tavern and the place is more dead &amp; silent than mortuary in PST! , July 1 2017, This is what you get for over-financing a project way before the job is done,levy2109,a
Hotline Miami 2: Wrong Number, Je ne jugerais pas si ce deuxi??me ??pisode est meilleur que le premier ou pas je ne sais pas. Cependant ce que je peux dire c est que ce jeu et cette s??rie est une pure merveille. L ambiance est ici le ma??tre mot. Le jeu r??ussi a nous plong?? dans l ambience sombre et dangereuse des ann??es 80/90 avec brio. Le style gore les graphismes pixelis??s et surtout la musique (oui surtout la musique) tout est r??ussi. Le gameplay est jouissif bien que parfois r??p??tif. La difficult?? est correcte mais les personnages sont mal ??quilibr??s. Certains sont beaucoup plus durs ?? jouer d autres totalement inutiles. Quant au sc??nario qui nous plonge au c??ur d un thriller psych??d??lique on ne peut qu appr??cier. Il reste un peu confu parfois mais je pense que c est ce qui fait son charme. J ai personnellement ador??. Malheuresement la rejouabilit?? dans ce type de jeu est limit?? c est le genre d exp??rience que l on ne peut vivre qu une seule fois. Je ne pourrais donc que recommander ce jeu qui est pour moi l un de mes pr??f??r??. , September 11 2018, Je ne jugerais pas si ce deuxi??me ??pisode est meilleur que le premier ou pas je ne sais pas,randolph712,a
Torchlight II, ????????????RPG???????????????????????????GOG???????????????????????????????????????????????????????????? ???????????????????????????????????????????????????????????????????????????????????????????????????6??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? ???????????????????????????????????????????????????GOG~ , June 22 2018, ????????????RPG???????????????????????????GOG???????????????????????????????????????????????????????????? ???????????????????????????????????????????????????????????????????????????????????????????????????6??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? ???????????????????????????????????????????????????GOG~ ,robertson,a
Call Of Cthulhu: Prisoner Of Ice, I ll say I don t have this copy but the original PC release. That said lets go over this.. It is meant to be part of the  Call of Cthulhuseries based heavily on the works of H.P. Lovecraft.. long-time fan of his work I can pretty much say that.. if you removed a couple of names then there is nothing Lovecraft about this. the Call of Cthulhu Series was always a mess which was based on someone having heard a copy of lines and that was it but this is really BAD. So first thing Ignore anything that says it s got any relation to Lovecraft.. and it s a pet peeve I know but can people that want to cash in on his work remember Cthulhu was the Prophet of the Great Old Ones. HE wasn t one of them. And if you are going to quote his work get the quote both right and in context else it s just meaningless. Voice Acting is pretty bad Drawn graphics are good. CGI graphics are... not BAD but the animations and movements are very bad. A lot of the Script doesn t make much sense and can be pretty much contradicting itself. I must give it points for gameplay in that there isn t anything SERIOUSLY wrong with it but it s a case that pretty much the only things you can interact with or look at at things you need. And often they are small and bland so they are hard to see.. just wave your mouse over the screen and you ll probably find more stuff not great for adventure games. Some have said this game has a promising start but then goes down hill.. I m not sure in what way.. The intro can kinda be figured out as to its relationship with the game but it s not a great fit. You start on a sub Monster appears Action right of the batt which does show that this game isn t one about depth or detail. mostly slowly walking around with no regard to 3 dimensional space. By the end of the game well.. I was thinking  Didn t Harlan Ellison write a better version of this?and well if Ellison wrote a version he did right a better version of anything. , October 31 2018, I ll say I don t have this copy but the original PC release,malone3970,a
Din S Curse, Many of the things other reviewers bring up with Din s Curse are accurate. It s a Diablo clone through &amp; through and not a very engaging one if you aren t playing with any of the high-level mechanics on - which I must admit I do not. Do you like Diablo but find the game is too easy? Would you like to lose your shopkeepers out of nowhere? Would you like to play for a few hours only to suddenly lose your quest giver? To the game s credit the game s mechanics are largely customizable - which is very much appreciated. In addition to difficulty levels you can turn invasions on or off. You really can play the game how you want. You can make things very very easy or brutally difficult if you want. But without those high level mechanics there really isn t much to the game. There is a specific way this game was meant to be played and a specific audience this game is for. And unfortunately I am not that kind of player or that audience. When I play a Diablo-style game there are a few things I look for in it. And while there s plenty of point &amp; click action it doesn t feel as good as it does in a lot of other Diablo clones. Which is to say nothing of the presentation which definitely feels rough. I m certainly not a graphics snob but this looks more like a game that was released in 1999 than 2010. However that is kind of hard to fault the game for considering this is clearly an indie title. So bearing that in mind despite how I feel I can t truly say Din s Curse is awful. There are undoubtedly plenty of people who will enjoy what Din s Curse has to offer but sadly I am not one of them. Din s Curse simply does not feel like the polished experience I expect with these types of games. And to be fair that s not necessarily a problem with the game itself because it s very clear some people do enjoy what Din s Curse has to offer. So read some reviews and think about whether or not this is the game for you because it may very well become your favourite. , April 16 2018, Many of the things other reviewers bring up with Din s Curse are accurate,strong4847,a
Tower Of Guns," This game is like if a 90s shooter met the simplicity and fast ""in and out"" perks of mobile gaming. It s just a fun shooter it s not perfect the aim is a bit off and sometimes invisible walls show up for a few seconds for no reason but it didn t  t really matter while I was playing which is a good sign because I was having fun. The ""story"" deserves a mention made me laugh. Visually you can make your own judgement based on the images and videos online but I think it looks great definitely is unique. ", January 11 2017," This game is like if a 90s shooter met the simplicity and fast ""in and out"" perks of mobile gaming",hurst5964,a
